ID,Recipient_name,Recipient_glottocode,Recipient_iso639-3,Recipient_genus,Donor_name,Donor_glottocode,Donor_iso639-3,Donor_genus,reliability,number_of_interrelated_affixes,number_of_borrowed_affixes,Area,References,Adjectivizer_or_Adverbializer,Particle,Case_Suffixes,Noun,Nominalizer,Number_and_Numeral_Representations,Valency_Changing_Verbal_Suffixes,Verb
http://afbo.info/pairs/139,Alabama and Choctaw‑Chickasaw,choc1276,cho,Muskogean,Quapaw,quap1242,qua,Siouan,mid,,1,North America,shipleyquapaw1988,0,0,0,0,0,1,0,0
http://afbo.info/pairs/140,Kharia,khar1287,khr,Munda,Hindi,hind1269,hin,Indic,mid,,1,Eurasia,petersongrammar2011,0,0,0,0,0,0,0,1
http://afbo.info/pairs/142,German,stan1295,deu,Germanic,Latvian,latv1249,lav,Baltic,high,,1,Eurasia,polanskazum2002,0,0,0,0,1,0,0,0
http://afbo.info/pairs/143,Amuesha,yane1238,ame,Arawakan,Quechua,nort2980,qvn,Quechuan,mid,2,3,South America,"adelaarquechua2006, dufftrippgramatica1997",0,2,1,0,0,0,0,0
http://afbo.info/pairs/144,Moghol,mogh1245,mhj,Mongolic,Tajik,taji1245,tgk,Iranian,high,6,7,Eurasia,janhunenmoghol2003,2,0,1,0,0,4,0,0
http://afbo.info/pairs/145,Dagur,daur1238,dta,Mongolic,Chinese,mand1415,cmn,Chinese,high,,1,Eurasia,janhunendagur2003,0,0,0,0,0,1,0,0
http://afbo.info/pairs/146,Hungarian,hung1274,hun,Ugric,Croatian,croa1245,hrv,Slavic,high,,1,Eurasia,fuchskomparativ1949,1,0,0,0,0,0,0,0
http://afbo.info/pairs/147,Dagur,daur1238,dta,Mongolic,Evenki,even1259,evn,Tungusic,high,3,3,Eurasia,janhunendagur2003,0,0,0,0,0,3,0,0
http://afbo.info/pairs/148,Santa,dong1285,sce,Mongolic,Chinese,mand1415,cmn,Chinese,high,5,7,Eurasia,janhunensanta2003,0,0,0,0,5,1,1,0
http://afbo.info/pairs/149,Middle Mongolic,,mon,Mongolic,Turkic,turk1311,,Turkic,mid,3,6,Eurasia,janhunenturcomongolic2003,0,0,3,0,1,1,0,1
http://afbo.info/pairs/150,Ndunga-le,ndun1249,ndt,Ubangi,Lingala,ling1263,lin,Bantoid,high,4,4,Africa,paschentlehnung1988,0,0,0,4,0,0,0,0
http://afbo.info/pairs/151,Ilwana,ilwa1237,mlk,Bantoid,Cushitic,,orm,Eastern Cushitic,mid,4,4,Africa,mohligaspects1986,0,0,0,0,0,4,0,0
http://afbo.info/pairs/152,South Swahili,swah1253,swh,Bantoid,North Swahili,swah1253,swh,Bantoid,high,,2,Africa,"guldemanngrammaticalization2003, guldemannist1992",0,0,0,0,0,0,0,2
http://afbo.info/pairs/153,Central Mexicano Nahuatl,mich1245,ncl,Aztecan,Spanish,stan1288,spa,Romance,high,2,3,North America,hillspeaking1986,0,0,0,2,1,0,0,0
